WKT,Analyser,Gns. mg/l,Min. mg/l,Maks. mg/l,Gns. topdybde,Min. topdybde,Maks. topdybde,Min. dato,Maks. dato,objectid,rgb,txt_search
"POLYGON ((595000 6090000,600000 6090000,600000 6095000,595000 6095000,595000 6090000))","      2","     71.0","      2.9","    139.0","     14.6","     10.2","     19.0",2000-01-24,2000-01-24,"   2008088837",255 0 0,
"POLYGON ((595000 6075000,600000 6075000,600000 6080000,595000 6080000,595000 6075000))","    171","     18.8","      2.2","     64.0","     22.9","      1.5","     39.4",1920-12-13,2020-10-01,"   1995001528",255 255 0,
"POLYGON ((705000 6215000,710000 6215000,710000 6220000,705000 6220000,705000 6215000))","      2","      5.1","      3.2","      7.0","     19.5","     19.0","     20.0",1969-08-25,2002-11-12,"       110182",0 255 0,
"POLYGON ((715000 6210000,720000 6210000,720000 6215000,715000 6215000,715000 6210000))","    216","     28.5","      2.0","    154.0","     27.8","       .0","    124.0",1989-03-13,2020-09-14,"   2006272347",255 125 0,
"POLYGON ((685000 6190000,690000 6190000,690000 6195000,685000 6195000,685000 6190000))","     16","     28.6","      3.5","     56.0","     29.9","     21.0","     44.3",1989-10-13,2017-11-21,"       152732",255 125 0,
"POLYGON ((640000 6170000,645000 6170000,645000 6175000,640000 6175000,640000 6170000))","     27","     19.5","      2.4","     75.0","     13.3","      1.1","     31.0",1936-11-13,2004-06-07,"       111908",255 255 0,
"POLYGON ((695000 6175000,700000 6175000,700000 6180000,695000 6180000,695000 6175000))","     35","     35.9","      2.0","     90.0","     18.2","      8.0","     22.0",1987-07-08,2006-06-22,"       150962",255 125 0,
"POLYGON ((685000 6165000,690000 6165000,690000 6170000,685000 6170000,685000 6165000))","     83","     27.7","      2.0","    686.2","     18.5","      2.0","     40.7",1982-02-05,2021-01-13,"       253466",255 125 0,
"POLYGON ((650000 6150000,655000 6150000,655000 6155000,650000 6155000,650000 6150000))","      3","     17.5","      2.3","     47.0","     42.0","     16.0","     60.0",1971-02-22,1992-02-17,"       112539",255 255 0,
"POLYGON ((690000 6140000,695000 6140000,695000 6145000,690000 6145000,690000 6140000))","      8","     33.2","      2.0","     94.0","     22.6","     15.5","     33.5",1975-12-11,2003-11-27,"       113920",255 125 0,
"POLYGON ((655000 6130000,660000 6130000,660000 6135000,655000 6135000,655000 6130000))","      4","      5.1","      5.0","      5.1","     60.7","     44.5","     76.8",2008-09-30,2008-09-30,"   2009033579",0 255 0,
"POLYGON ((650000 6135000,655000 6135000,655000 6140000,650000 6140000,650000 6135000))","      5","     46.1","      3.2","    100.0","     28.8","     13.0","     51.5",1974-08-23,2014-09-29,"       113495",255 125 0,
"POLYGON ((705000 6125000,710000 6125000,710000 6130000,705000 6130000,705000 6125000))","      5","     30.1","      4.0","     64.0","     12.6","      3.5","     20.0",1967-11-01,2002-10-28,"       114649",255 125 0,
"POLYGON ((640000 6120000,645000 6120000,645000 6125000,640000 6125000,640000 6120000))","     14","    175.0","      2.3","    651.0","     36.5","     19.3","     47.0",1961-07-01,1993-09-27,"       115219",255 0 0,
"POLYGON ((680000 6115000,685000 6115000,685000 6120000,680000 6120000,680000 6115000))","     11","     40.5","      2.0","    210.0","     30.1","      2.8","     69.2",1989-11-29,2020-10-22,"       154023",255 125 0,
"POLYGON ((685000 6100000,690000 6100000,690000 6105000,685000 6105000,685000 6100000))","      3","      6.1","      2.3","     12.0","     33.9","     23.7","     43.1",1945-01-31,2011-06-16,"       115857",0 255 0,
"POLYGON ((700000 6105000,705000 6105000,705000 6110000,700000 6110000,700000 6105000))","      5","      2.3","      2.2","      2.6","     27.6","     24.5","     30.2",1991-04-09,1996-11-14,"   1995001898",0 255 0,
"POLYGON ((705000 6090000,710000 6090000,710000 6095000,705000 6095000,705000 6090000))","      9","      8.2","      2.0","     41.0","     31.7","      3.0","     53.6",1978-04-25,2002-10-21,"       116194",0 255 0,
"POLYGON ((865000 6125000,870000 6125000,870000 6130000,865000 6130000,865000 6125000))","     59","     18.0","      2.0","     49.0","     36.1","     15.0","     80.0",1972-08-23,2020-04-07,"       150127",255 255 0,
"POLYGON ((865000 6130000,870000 6130000,870000 6135000,865000 6135000,865000 6130000))","    119","     12.1","      2.0","     76.0","     20.8","      7.5","     82.0",1982-12-13,2021-03-09,"   1997005869",255 255 0,
"POLYGON ((600000 6095000,605000 6095000,605000 6100000,600000 6100000,600000 6095000))","     32","     26.2","      2.0","    125.0","     17.1","      9.7","     23.0",1974-04-23,2020-11-19,"   1995010461",255 125 0,
"POLYGON ((550000 6250000,555000 6250000,555000 6255000,550000 6255000,550000 6250000))","     75","     19.6","      2.5","     78.0","     34.4","      6.0","    138.0",1967-06-30,2020-12-17,"       103125",255 255 0,
"POLYGON ((605000 6145000,610000 6145000,610000 6150000,605000 6150000,605000 6145000))","      1","      2.6","      2.6","      2.6","     17.0","     17.0","     17.0",2011-10-07,2011-10-07,"   2011024954",0 255 0,
"POLYGON ((715000 6190000,720000 6190000,720000 6195000,715000 6195000,715000 6190000))","     18","     19.2","      2.0","    102.0","     22.7","     11.7","     37.9",1990-01-01,2017-01-19,"       154946",255 255 0,
"POLYGON ((575000 6215000,580000 6215000,580000 6220000,575000 6220000,575000 6215000))","      8","     16.3","      3.0","     45.0","     12.2","      5.0","     16.8",1987-02-09,2016-06-15,"         9163",255 255 0,
"POLYGON ((520000 6135000,525000 6135000,525000 6140000,520000 6140000,520000 6135000))","      5","     52.8","     30.0","     68.0","      9.0","      7.0","     10.0",1963-02-18,2019-10-10,"       108064",255 0 0,
"POLYGON ((705000 6095000,710000 6095000,710000 6100000,705000 6100000,705000 6095000))","      6","     16.8","      2.0","     53.1","     10.5","      1.6","     36.0",1995-06-12,2019-04-01,"   1996010161",255 255 0,
"POLYGON ((620000 6345000,625000 6345000,625000 6350000,620000 6350000,620000 6345000))","     20","     77.7","      3.0","    308.0","      -.1","     -1.0","     10.0",1929-04-11,1963-09-24,"       100422",255 0 0,
"POLYGON ((545000 6350000,550000 6350000,550000 6355000,545000 6355000,545000 6350000))","     10","     34.9","      2.1","     81.0","     29.5","     18.0","     38.0",1989-09-20,2020-09-23,"   2006025867",255 125 0,
"POLYGON ((560000 6345000,565000 6345000,565000 6350000,560000 6350000,560000 6345000))","     23","     38.5","      5.4","     94.0","     25.6","      3.0","     41.0",1990-05-02,2020-09-24,"   1995002256",255 125 0,
"POLYGON ((580000 6340000,585000 6340000,585000 6345000,580000 6345000,580000 6340000))","      1","    105.0","    105.0","    105.0","     24.0","     24.0","     24.0",1986-10-28,1986-10-28,"       150041",255 0 0,
"POLYGON ((475000 6330000,480000 6330000,480000 6335000,475000 6335000,475000 6330000))","      4","     29.1","     14.0","     38.8","     37.0","      9.0","     54.0",1965-06-01,2012-05-31,"       100868",255 125 0,
"POLYGON ((475000 6290000,480000 6290000,480000 6295000,475000 6295000,475000 6290000))","     24","     25.0","      3.2","     84.0","     18.5","      4.5","     39.0",1976-02-27,2019-08-26,"   1995012189",255 255 0,
"POLYGON ((505000 6285000,510000 6285000,510000 6290000,505000 6290000,505000 6285000))","      5","     12.3","      2.0","     28.0","     12.3","      1.6","     29.5",1966-08-11,2002-08-07,"       101986",255 255 0,
"POLYGON ((475000 6265000,480000 6265000,480000 6270000,475000 6270000,475000 6265000))","     48","     26.9","      2.5","     70.0","     16.6","      8.5","     25.0",1971-10-08,2020-11-05,"       102254",255 125 0,
"POLYGON ((560000 6260000,565000 6260000,565000 6265000,560000 6265000,560000 6260000))","     20","     33.8","      3.0","     86.0","     17.4","      5.0","     31.0",1980-10-06,2014-10-28,"   2008066099",255 125 0,
"POLYGON ((580000 6255000,585000 6255000,585000 6260000,580000 6260000,580000 6255000))","     28","     37.8","      4.1","     96.5","     11.6","      3.5","     22.0",1953-01-01,1996-06-12,"       103220",255 125 0,
"POLYGON ((490000 6240000,495000 6240000,495000 6245000,490000 6245000,490000 6240000))","      2","      2.8","      2.1","      3.4","      6.3","      2.0","     10.5",1984-08-01,1993-11-18,"       155366",0 255 0,
"POLYGON ((525000 6240000,530000 6240000,530000 6245000,525000 6245000,525000 6240000))","     11","     23.7","      3.2","     42.0","     17.3","      1.9","     28.7",1931-12-16,2002-09-30,"       103860",255 255 0,
"POLYGON ((520000 6230000,525000 6230000,525000 6235000,520000 6235000,520000 6230000))","     22","     14.0","      3.3","     50.0","     20.6","     12.5","     65.0",1966-06-09,2019-03-26,"       103723",255 255 0,
"POLYGON ((555000 6240000,560000 6240000,560000 6245000,555000 6245000,555000 6240000))","     34","     33.0","      2.3","    118.0","     35.9","      6.9","     94.0",1964-06-23,2008-04-14,"       104078",255 125 0,
"POLYGON ((480000 6225000,485000 6225000,485000 6230000,480000 6230000,480000 6225000))","      9","    153.3","     10.0","   1100.0","      8.9","       .8","     57.0",1996-09-17,2018-11-07,"   2006139159",255 0 0,
"POLYGON ((525000 6220000,530000 6220000,530000 6225000,525000 6225000,525000 6220000))","     58","     19.3","      2.0","     46.0","     38.2","     10.0","     78.0",1987-03-16,2020-11-11,"   1997009161",255 255 0,
"POLYGON ((490000 6210000,495000 6210000,495000 6215000,490000 6215000,490000 6210000))","     13","     22.7","      8.2","     60.0","     13.6","     10.3","     19.5",1972-04-25,2016-12-20,"         2085",255 255 0,
"POLYGON ((500000 6185000,505000 6185000,505000 6190000,500000 6190000,500000 6185000))","      2","     47.5","     47.0","     48.0","      8.0","      7.0","      9.0",1977-06-06,1984-12-12,"       105705",255 125 0,
"POLYGON ((525000 6175000,530000 6175000,530000 6180000,525000 6180000,525000 6175000))","     14","     33.6","      2.3","    128.0","     39.3","     15.0","     48.0",1977-02-21,2020-09-07,"       106357",255 125 0,
"POLYGON ((525000 6180000,530000 6180000,530000 6185000,525000 6185000,525000 6180000))","      7","      7.5","      2.8","     10.0","     49.0","     45.0","     51.1",1978-06-21,2008-11-18,"       106403",0 255 0,
"POLYGON ((460000 6165000,465000 6165000,465000 6170000,460000 6170000,460000 6165000))","      1","     38.0","     38.0","     38.0","     12.0","     12.0","     12.0",1983-07-25,1983-07-25,"       131270",255 125 0,
"POLYGON ((490000 6145000,495000 6145000,495000 6150000,490000 6150000,490000 6145000))","      2","     32.0","     18.0","     46.0","     19.0","     13.5","     24.5",1971-11-05,2005-09-07,"       107387",255 125 0,
"POLYGON ((525000 6150000,530000 6150000,530000 6155000,525000 6155000,525000 6150000))","      9","     23.4","      2.0","     58.0","     25.0","      7.0","     59.5",1945-02-19,2019-02-12,"       107535",255 255 0,
"POLYGON ((560000 6130000,565000 6130000,565000 6135000,560000 6135000,560000 6130000))","      2","      2.0","      2.0","      2.0","     25.0","     25.0","     25.0",1968-09-13,1968-09-13,"   2006057901",0 255 0,
"POLYGON ((585000 6120000,590000 6120000,590000 6125000,585000 6125000,585000 6120000))","      6","     32.6","      7.9","     80.0","     12.6","      6.0","     21.8",1961-11-07,2007-12-12,"   2006058878",255 125 0,
"POLYGON ((585000 6100000,590000 6100000,590000 6105000,585000 6105000,585000 6100000))","     11","     18.8","      2.0","    100.0","     19.6","     10.0","     28.5",1966-09-29,1995-06-15,"   1996006461",255 255 0,
"POLYGON ((660000 6200000,665000 6200000,665000 6205000,660000 6205000,660000 6200000))","     10","      5.9","      2.0","     20.0","     12.9","      2.5","     23.8",1965-06-25,2003-12-17,"       109886",0 255 0,
"POLYGON ((680000 6160000,685000 6160000,685000 6165000,680000 6165000,680000 6160000))","     55","      6.6","      2.1","     53.1","     29.0","      4.6","     65.0",1954-09-07,2014-05-08,"       252581",0 255 0,
